Scenario,Seed,Sweep,Value,D_total_ms,Substitutions,Deployments,AvgAccess_ms,AvgCompute_ms,AvgTrans_ms,AvgReturn_ms,Feasible
real_moe_uav,0,placement_profile,memory_heavy,3570.191247,374,49,51.481075,0.050674,25.339080,12.383952,True
real_moe_uav,1,redundancy_nu,0,4063.573769,308,49,51.469920,0.006505,37.133997,12.978921,True
real_moe_uav,1,redundancy_nu,0.1,3921.388649,341,49,51.469920,0.008194,33.577681,12.978921,True
real_moe_uav,1,redundancy_nu,0.3,3808.372167,384,49,51.469920,0.050826,32.402480,11.286078,True
real_moe_uav,1,redundancy_nu,0.5,3821.110164,383,49,51.469920,0.052359,32.611612,11.393862,True
real_moe_uav,1,redundancy_nu,0.7,3977.053019,377,49,51.469920,0.055918,34.737873,13.162614,True
real_moe_uav,1,scheduling_lambda,0,3377.476217,401,49,51.469920,0.049305,21.112687,11.804993,True
real_moe_uav,1,scheduling_lambda,0.05,3760.216222,386,49,51.469920,0.050598,31.243578,11.241309,True
real_moe_uav,1,scheduling_lambda,0.1,3808.372167,384,49,51.469920,0.050826,32.402480,11.286078,True
real_moe_uav,1,scheduling_lambda,0.2,4106.441361,335,49,51.469920,0.042759,39.339895,11.808461,True
real_moe_uav,1,scheduling_lambda,0.4,5954.091887,269,49,51.469920,0.027214,84.789934,12.565229,True
real_moe_uav,1,remote_eta,0,3790.068237,373,49,51.469920,0.051404,32.363911,10.866471,True
real_moe_uav,1,remote_eta,0.25,3808.392217,384,49,51.469920,0.051327,32.402480,11.286078,True
real_moe_uav,1,remote_eta,0.5,3808.372167,384,49,51.469920,0.050826,32.402480,11.286078,True
real_moe_uav,1,remote_eta,0.75,3808.408182,385,49,51.469920,0.051726,32.402480,11.286078,True
real_moe_uav,1,remote_eta,1,3790.627568,388,49,51.469920,0.051643,31.958048,11.286078,True
real_moe_uav,1,placement_profile,default,3808.372167,384,49,51.469920,0.050826,32.402480,11.286078,True
real_moe_uav,1,placement_profile,demand_heavy,3595.229044,374,49,51.469920,0.050765,25.355965,13.004076,True
real_moe_uav,1,placement_profile,compute_heavy,3756.577655,383,49,51.469920,0.052880,31.824502,10.567139,True
real_moe_uav,1,placement_profile,network_heavy,3595.229044,374,49,51.469920,0.050765,25.355965,13.004076,True
