compute_window_s,seed,method,feasible,D_total_ms,D_per_task_ms,substitutions,deployments,avg_D_access_ms,avg_D_compute_ms,avg_D_trans_ms,avg_D_return_ms
10.000000,2,Importance-based Placement,1,9688.925002,242.223125,112.000000,7.000000,32.990788,163.457355,45.366736,0.408246
10.000000,2,No-similarity Placement,1,18618.278111,465.456953,0.000000,4.000000,32.990788,381.652662,50.438234,0.375268
10.000000,3,Proposed,1,9468.199998,236.705000,117.000000,5.000000,33.631725,160.972497,41.646444,0.454333
10.000000,3,Random Placement,1,16961.097103,424.027428,44.000000,5.000000,33.631725,317.291813,72.474247,0.629643
10.000000,3,Importance-based Placement,1,18618.060113,465.451503,26.000000,5.000000,33.631725,375.658585,55.590022,0.571171
10.000000,3,No-similarity Placement,1,17971.975834,449.299396,0.000000,4.000000,33.631725,366.891786,48.285855,0.490030
10.000000,4,Proposed,1,10317.251519,257.931288,123.000000,7.000000,37.821053,183.748894,35.950967,0.410374
10.000000,4,Random Placement,1,14654.801145,366.370029,86.000000,6.000000,37.821053,283.704951,44.462763,0.381262
10.000000,4,Importance-based Placement,1,10637.818875,265.945472,125.000000,7.000000,37.821053,193.247369,34.495788,0.381262
10.000000,4,No-similarity Placement,1,19378.525328,484.463133,0.000000,4.000000,37.821053,391.374937,54.842783,0.424360
