experiment,value,num_uavs,num_tasks,area_size,num_experts,memory_scale,method,success_rate,infeasible_count,mean_D_total_ms,std_D_total_ms,mean_D_per_task_ms,std_D_per_task_ms,mean_runtime_ms,mean_Substitutions,mean_AvgCompute_ms,mean_AvgTrans_ms,mean_Deployments
expert_count,12.000000,10,80,240.000000,12,1.000000,Random Placement,1.000000,0,19350.958305,1522.182027,241.886979,19.027275,9.680900,174.000000,178.135075,29.348258,20.400000
expert_count,12.000000,10,80,240.000000,12,1.000000,Importance-based Placement,1.000000,0,17374.600105,2192.718842,217.182501,27.408986,9.640540,209.200000,156.190767,26.605209,19.800000
expert_count,12.000000,10,80,240.000000,12,1.000000,No-similarity Placement,1.000000,0,31166.274083,1210.191411,389.578426,15.127393,6.566240,0.000000,320.133227,35.036018,10.000000
expert_count,16.000000,10,80,240.000000,16,1.000000,Proposed,1.000000,0,13781.386985,1494.054214,172.267337,18.675678,15.060660,232.200000,124.807740,13.421784,30.800000
expert_count,16.000000,10,80,240.000000,16,1.000000,Random Placement,1.000000,0,20101.163437,2864.270537,251.264543,35.803382,9.418940,172.400000,184.185308,32.976541,20.800000
expert_count,16.000000,10,80,240.000000,16,1.000000,Importance-based Placement,1.000000,0,19776.709604,1075.957699,247.208870,13.449471,9.353240,177.000000,182.011564,31.129786,19.200000
expert_count,16.000000,10,80,240.000000,16,1.000000,No-similarity Placement,1.000000,0,31063.285778,2047.935689,388.291072,25.599196,6.546640,0.000000,322.095874,32.138147,10.000000
expert_count,24.000000,10,80,240.000000,24,1.000000,Proposed,1.000000,0,13806.097129,309.855547,172.576214,3.873194,18.224940,240.800000,124.221300,13.843094,33.000000
expert_count,24.000000,10,80,240.000000,24,1.000000,Random Placement,0.200000,4,22122.145703,0.000000,276.526821,0.000000,9.463400,178.000000,195.797357,46.363653,20.000000
expert_count,24.000000,10,80,240.000000,24,1.000000,Importance-based Placement,0.200000,4,21354.700569,0.000000,266.933757,0.000000,9.372500,156.000000,209.185944,24.325019,20.000000
expert_count,24.000000,10,80,240.000000,24,1.000000,No-similarity Placement,0.000000,5,inf,nan,inf,nan,7.328880,inf,inf,inf,inf
